year       U.S.	       AL	   CA	      CO	  CT	  DE	  DC	    FL	      GA	  ID	   IL	      IN	  IA	   KS	  KY	   LA	  ME	   MD	   MA	   MI	   MN	   MS	   MO	  MT	  NE	  NV	  NH	   NJ	   NM	   NY	       NC	  ND	   OH	  OK	  OR	  PA	  RI	   SC	  SD	   TN	  TX	  UT	  VT	  VA	  WA	  WV	  WI	  WY
1900	 76094000	1830000	 1490000	543000	910000	185000	278000	  530000	2220000	163000	 4828000	2518000	2231000	1473000	2148000	1384000	695000	1189000	2788000	2423000	1754000	1553000	3108000	245000	1067000 43000	412000	1884000	196000	 7283000	1897000	321000	4161000	800000	415000	6313000	430000	1342000	403000	2023000	3055000	277000	344000	1858000	523000	959000	2072000	93000
1901	 77585000	1907000	 1550000	581000	931000	187000	285000	  544000	2263000	176000	 4914000	2541000	2227000	1490000	2162000	1412000	699000	1200000	2794000	2450000	1805000	1578000	3128000	261000	1078000	45000	412000	1889000	206000	 7449000	1926000	346000	4216000	916000	434000	6439000	441000	1361000	418000	2041000	3132000	284000	347000	1887000	583000	972000	2109000	100000
1902	 79160000	1935000	 1623000	621000	952000	188000	290000	  565000	2305000	199000	 4992000	2567000	2222000	1505000	2177000	1440000	703000	1210000	2856000	2477000	1862000	1603000	3147000	270000	1089000	49000	409000	1917000	218000	 7612000	1956000	371000	4322000	1027000	454000	6567000	450000	1379000	431000	2060000	3210000	292000	349000	1894000	651000	1000000	2141000	105000
1903	 80632000	1957000	 1702000	652000	972000	190000	295000	  587000	2346000	216000	 5071000	2594000	2217000	1498000	2191000	1467000	709000	1209000	2924000	2505000	1901000	1628000	3166000	282000	1104000	52000	394000	1969000	229000	 7771000	1986000	396000	4386000	1118000	479000	6699000	460000	1397000	437000	2082000	3291000	299000	350000	1890000	719000	1037000	2171000	108000
1904	 82165000	1978000	 1792000	659000	987000	192000	302000	  599000	2387000	229000	 5161000	2614000	2212000	1527000	2205000	1495000	719000	1217000	2969000	2534000	1945000	1653000	3185000	293000	1119000	56000	407000	2050000	242000	 7927000	2017000	421000	4458000	1200000	504000	6833000	471000	1415000	452000	2086000	3374000	308000	353000	1889000	782000	1064000	2202000	111000
1905	 83820000	2012000	 1893000	680000	1010000	194000	308000	  615000	2427000	246000	 5241000	2635000	2211000	1555000	2220000	1523000	723000	1237000	3018000	2579000	1981000	1678000	3204000	305000	1129000	59000	423000	2151000	255000	 8084000	2051000	446000	4530000	1277000	530000	6970000	481000	1433000	461000	2111000	3459000	316000	354000	1917000	842000	1094000	2231000	114000
1906	 85437000	2045000	 1976000	707000	1033000	196000	313000	  628000	2466000	262000	 5309000	2663000	2214000	1576000	2234000	1551000	729000	1251000	3107000	2626000	1987000	1703000	3223000	322000	1138000	64000	415000	2239000	269000	 8289000	2077000	474000	4587000	1349000	555000	7110000	492000	1451000	477000	2136000	3546000	327000	355000	1942000	904000	1122000	2250000	118000
1907	 87000000	2058000	 2054000	733000	1057000	197000	317000	  645000	2505000	277000	 5384000	2679000	2217000	1612000	2249000	1579000	731000	1257000	3183000	2693000	1995000	1728000	3242000	332000	1149000	68000	423000	2314000	283000	 8499000	2105000	501000	4630000	1414000	580000	7253000	505000	1468000	498000	2136000	3636000	339000	355000	1952000	967000	1149000	2268000	125000
1908	 88709000	2070000	 2161000	757000	1077000	199000	321000	  684000	2543000	291000	 5474000	2677000	2220000	1629000	2263000	1607000	735000	1269000	3251000	2722000	2020000	1753000	3260000	346000	1161000	73000	428000	2403000	298000	 8714000	2142000	528000	4677000	1498000	610000	7398000	519000	1485000	527000	2164000	3727000	351000	354000	1994000	1028000	1174000	2292000	133000
1909	 90492000	2108000	 2282000	775000	1097000	201000	327000	  724000	2580000	311000	 5567000	2678000	2223000	1658000	2278000	1634000	740000	1289000	3316000	2771000	2051000	1777000	3279000	363000	1177000	78000	431000	2487000	314000	 8935000	2174000	555000	4701000	1585000	643000	7546000	532000	1502000	553000	2177000	3821000	363000	356000	2038000	1091000	1203000	2317000	141000
1910	 92407000	2150000	 2406000	804000	1122000	203000	334000	  756000	2618000	329000	 5668000	2713000	2228000	1692000	2299000	1667000	745000	1302000	3365000	2832000	2086000	1802000	3301000	380000	1198000	82000	431000	2550000	329000	 9137000	2221000	580000	4786000	1671000	677000	7706000	545000	1523000	590000	2191000	3922000	377000	357000	2071000	1148000	1231000	2345000	147000
1911	 93868000	2185000	 2534000	821000	1149000	207000	344000	  773000	2644000	343000	 5757000	2751000	2249000	1684000	2324000	1695000	751000	1324000	3383000	2916000	2119000	1810000	3317000	397000	1216000	81000	432000	2610000	334000 	 9249000	2276000	584000	4821000	1714000	692000	7850000	556000	1548000	602000	2197000	4016000	387000	358000	2092000	1167000	1266000	2369000	150000
1912	 95331000	2217000	 2668000	832000	1176000	209000	340000	  801000	2676000	359000	 5828000	2785000	2279000	1671000	2347000	1709000	753000	1345000	3440000	2997000	2147000	1817000	3344000	414000	1232000	81000	434000	2670000	338000	 9361000	2313000	603000	4893000	1737000	706000	7986000	567000	1572000	592000	2218000	4107000	399000	359000	2122000	1184000	1291000	2407000	153000
1913	 97227000	2279000	 2811000	835000	1208000	213000	358000	  828000	2733000	371000	 5961000	2824000	2305000	1663000	2374000	1727000	763000	1368000	3534000	3101000	2190000	1827000	3409000	433000	1246000	82000	439000	2729000	344000	 9473000	2362000	609000	4997000	1777000	722000	8139000	578000	1599000	584000	2257000	4207000	410000	361000	2176000	1209000	1317000	2438000	157000
1914	 99118000	2336000	 2934000	846000	1233000	216000	368000	  871000	2776000	384000	 6109000	2857000	2338000	1662000	2395000	1740000	772000	1389000	3636000	3183000	2234000	1832000	3467000	452000	1264000	83000	442000	2789000	348000	 9585000	2421000	620000	5109000	1824000	736000	8276000	589000	1622000	581000	2289000	4300000	422000	362000	2241000	1231000	1362000	2490000	163000
1915	100549000	2345000	 3008000	868000	1258000	217000	361000	  922000	2810000	394000	 6194000	2873000	2366000	1687000	2401000	1755000	774000	1401000	3705000	3263000	2273000	1826000	3492000	469000	1272000	82000	443000	2850000	351000	 9700000	2473000	641000	5251000	1860000	745000	8362000	597000	1635000	585000	2294000	4368000	430000	360000	2294000	1239000	1387000	2535000	167000
1916	101966000	2359000	 3071000	892000	1294000	219000	360000	  924000	2856000	405000	 6274000	2897000	2376000	1727000	2411000	1799000	775000	1415000	3726000	3353000	2308000	1823000	3527000	487000	1275000	82000	445000	2918000	354000	 9848000	2513000	652000	5366000	1907000	756000	8463000	598000	1650000	595000	2304000	4444000	436000	360000	2316000	1255000	1414000	2562000	174000
1917	103266000	2361000	 3171000	910000	1327000	222000	385000	  895000	2885000	413000	 6313000	2910000	2382000	1748000	2421000	1795000	777000	1428000	3738000	3451000	2329000	1820000	3470000	505000	1285000	81000	447000	2976000	361000	 9993000	2546000	661000	5510000	1960000	763000	8578000	606000	1675000	599000	2331000	4563000	444000	372000	2313000	1287000	1439000	2587000	186000
1918	103203000	2343000	 3262000	906000	1329000	220000	418000	  865000	2941000	405000	 6275000	2880000	2351000	1729000	2425000	1746000	760000	1467000	3695000	3499000	2291000	1813000	3325000	501000	1266000	77000	440000	3043000	382000	 9936000	2522000	636000	5547000	1969000	763000	8524000	604000	1746000	570000	2288000	4666000	437000	352000	2359000	1341000	1438000	2597000	181000
1919	104512000	2337000	 3339000	938000	1359000	221000	445000	  898000	2870000	424000	 6392000	2906000	2379000	1756000	2413000	1756000	762000	1445000	3785000	3591000	2346000	1790000	3371000	534000	1290000	77000	443000	3136000	362000	10252000	2535000	648000	5683000	2003000	774000	8643000	603000	1687000	606000	2305000	4631000	446000	352000	2318000	1333000	1464000	2600000	191000
1920	106466000	2359000	 3554000	937000	1391000	219000	440000	  962000	2926000	433000	 6663000	2947000	2400000	1769000	2421000	1813000	771000	1464000	3882000	3723000	2403000	1800000	3404000	543000	1300000	78000	444000	3198000	363000	10282000	2588000	646000	5799000	2055000	788000	8740000	613000	1685000	640000	2329000	4723000	453000	353000	2347000	1373000	1470000	2679000	197000
1921	108541000	2402000	 3795000	961000	1415000	216000	446000	  997000	2965000	435000	 6858000	2976000	2407000	1779000	2436000	1847000	775000	1492000	3951000	3872000	2434000	1823000	3429000	546000	1309000	80000	449000	3297000	370000	10416000	2651000	646000	5921000	2108000	798000	8900000	629000	1693000	652000	2369000	4853000	457000	355000	2395000	1405000	1485000	2722000	203000
1922	110055000	2434000	 3991000	965000	1431000	214000	450000	 1044000	2965000	436000	 6958000	2965000	2428000	1799000	2450000	1871000	778000	1509000	4010000	3942000	2451000	1836000	3437000	543000	1312000	81000	451000	3380000	375000	10589000	2700000	647000	6054000	2140000	814000	8982000	644000	1692000	660000	2424000	4955000	467000	354000	2412000	1415000	1498000	2761000	208000
1923	111950000	2464000	 4270000	984000	1455000	215000	453000	 1097000	2954000	436000	 7068000	3042000	2425000	1808000	2480000	1903000	781000	1521000	4057000	4063000	2487000	1858000	3454000	538000	1321000	82000	453000	3472000	382000	10752000	2761000	648000	6183000	2159000	833000	9148000	656000	1699000	669000	2463000	5077000	474000	354000	2423000	1433000	1526000	2803000	211000
1924	114113000	2501000	 4541000	1014000	1481000	219000	456000	 1160000	2920000	434000	 7215000	3086000	2420000	1807000	2531000	1939000	788000	1537000	4102000	4214000	2521000	1886000	3508000	538000	1333000	84000	457000	3573000	390000	10953000	2830000	642000	6319000	2179000	856000	9383000	669000	1710000	673000	2502000	5210000	481000	355000	2426000	1467000	1577000	2833000	215000
1925	115832000	2534000	 4730000	1019000	1506000	222000	461000	 1264000	2883000	436000	 7306000	3119000	2427000	1825000	2520000	1972000	792000	1556000	4154000	4331000	2540000	1910000	3526000	535000	1343000	85000	459000	3664000	396000	11186000	2895000	643000	6434000	2216000	883000	9478000	680000	1718000	682000	2531000	5332000	487000	355000	2423000	1494000	1593000	2863000	216000
1926	117399000	2567000	 4929000	1016000	1531000	225000	469000	 1368000	2869000	441000	 7395000	3148000	2432000	1836000	2545000	2005000	793000	1576000	4194000	4451000	2560000	1935000	3556000	531000	1353000	87000	463000	3758000	403000	11257000	2959000	651000	6504000	2256000	905000	9594000	681000	1726000	683000	2553000	5453000	494000	356000	2419000	1516000	1623000	2892000	217000
1927	119038000	2609000	 5147000	1028000	1557000	229000	476000	 1418000	2891000	447000	 7519000	3191000	2441000	1836000	2551000	2039000	796000	1599000	4223000	4589000	2588000	1962000	3576000	527000	1365000	88000	466000	3891000	410000	11174000	3027000	657000	6577000	2306000	925000	9745000	677000	1736000	682000	2608000	5577000	500000	357000	2433000	1538000	1671000	2916000	219000
1928	120501000	2640000	 5344000	1014000	1577000	233000	479000	 1433000	2903000	449000	 7576000	3212000	2450000	1850000	2567000	2064000	797000	1610000	4217000	4665000	2592000	1981000	3601000	541000	1371000	89000	468000	3968000	416000	11599000	3082000	665000	6608000	2344000	936000	9802000	678000	1739000	685000	2624000	5675000	504000	358000	2435000	1551000	1696000	2923000	220000
1929	121770000	2644000	 5531000	1008000	1594000	236000	483000	 1445000	2903000	447000	 7606000	3226000	2460000	1867000	2606000	2086000	797000	1621000	4229000	4795000	2572000	1998000	3622000	524000	1375000	90000	467000	3989000	420000	12171000	3133000	674000	6626000	2372000	947000	9723000	684000	1739000	690000	2604000	5762000	508000	359000	2425000	1555000	1717000	2934000	223000
1930	123077000	2647000	 5711000	1040000	1613000	239000	488000	 1471000	2910000	447000	 7644000	3242000	2475000	1883000	2623000	2105000	800000	1636000	4250000	4834000	2576000	2006000	3646000	539000	1380000	92000	466000	4068000	427000	12647000	3167000	682000	6662000	2401000	956000	9649000	686000	1745000	693000	2619000	5844000	509000	360000	2427000	1568000	1733000	2950000	226000
1931	124040000	2649000	 5824000	1056000	1628000	242000	504000	 1493000	2924000	454000	 7687000	3257000	2482000	1881000	2652000	2124000	807000	1657000	4248000	4798000	2614000	1994000	3711000	540000	1384000	94000	470000	4120000	436000	12848000	3184000	680000	6694000	2403000	966000	9707000	681000	1753000	694000	2657000	5907000	513000	359000	2445000	1581000	1740000	2990000	229000
1932	124840000	2653000	 5894000	1066000	1637000	245000	513000	 1521000	2935000	459000	 7736000	3281000	2489000	1883000	2676000	2155000	815000	1678000	4259000	4780000	2646000	2004000	3746000	540000	1386000	96000	474000	4120000	441000	13001000	3227000	676000	6717000	2394000	972000	9764000	677000	1748000	692000	2711000	5961000	517000	358000	2452000	1584000	1747000	3021000	230000
1933	125579000	2661000	 5963000	1071000	1642000	248000	529000	 1552000	2950000	464000	 7768000	3304000	2495000	1877000	2698000	2178000	821000	1694000	4282000	4780000	2673000	2031000	3773000	541000	1385000	96000	477000	4107000	449000	13126000	3268000	674000	6740000	2392000	978000	9784000	675000	1752000	690000	2747000	6014000	520000	357000	2460000	1592000	1752000	3040000	230000
1934	126374000	2685000	 6060000	1075000	1650000	250000	568000	 1585000	2964000	473000	 7772000	3319000	2510000	1868000	2722000	2202000	829000	1710000	4305000	4798000	2695000	2050000	3784000	545000	1382000	98000	480000	4089000	461000	13253000	3304000	672000	6751000	2391000	985000	9795000	675000	1760000	682000	2784000	6053000	522000	357000	2485000	1610000	1771000	3054000	233000
1935	127250000	2719000	 6175000	1078000	1666000	252000	608000	 1613000	2955000	481000	 7797000	3332000	2524000	1872000	2748000	2228000	836000	1729000	4343000	4838000	2717000	2061000	3798000	550000	1375000	100000	481000	4085000	475000	13375000	3323000	670000	6787000	2386000	1001000	9774000	678000	1769000	674000	2798000	6123000	526000	357000	2520000	1629000	1794000	3070000	237000
