Date,Open,High,Low,Close,Volume,Adj. Close*
24-Oct-03,29.12,29.20,28.93,29.16,3069600,29.16
23-Oct-03,29.50,29.69,29.34,29.55,3414200,29.55
22-Oct-03,29.95,29.95,29.49,29.65,6659700,29.65
21-Oct-03,30.30,30.39,30.01,30.13,4097700,30.13
20-Oct-03,30.20,30.28,29.98,30.20,3070000,30.20
17-Oct-03,30.90,30.90,29.98,30.12,3719700,30.12
16-Oct-03,30.76,31.00,30.44,30.82,2929300,30.82
15-Oct-03,30.95,30.98,30.52,30.76,4016400,30.76
14-Oct-03,30.15,30.80,30.07,30.73,4883100,30.73
13-Oct-03,29.75,30.13,29.75,30.11,4693500,30.11
10-Oct-03,29.51,29.90,29.51,29.73,3830400,29.73
9-Oct-03,29.04,30.02,28.72,29.68,7724000,29.68
8-Oct-03,28.80,29.21,28.37,28.67,7413100,28.67
7-Oct-03,27.95,28.72,27.70,28.19,4089700,28.19
11-Jun-70,52.50,52.50,50.25,50.25,8900,0.00
10-Jun-70,53.25,53.50,52.50,52.63,4500,0.00
9-Jun-70,53.25,53.63,53.25,53.25,3100,0.00
8-Jun-70,52.88,54.38,52.88,53.25,6600,0.00
5-Jun-70,53.75,54.00,52.63,52.63,9700,0.00
4-Jun-70,55.50,55.63,53.75,53.75,47000,0.00
3-Jun-70,54.38,56.00,54.00,55.50,18400,0.00
2-Jun-70,55.63,55.63,53.50,54.38,15000,0.00
1-Jun-70,54.00,55.63,54.00,55.63,10800,0.00
29-May-70,51.75,53.25,51.25,53.25,23300,0.00
28-May-70,51.88,52.50,50.88,51.75,24200,0.00
27-May-70,50.13,51.88,50.13,51.88,25600,0.00
26-May-70,50.75,52.50,50.00,50.00,23600,0.00
25-May-70,53.63,53.63,50.75,50.75,5300,0.00
22-May-70,56.13,56.13,52.75,54.00,13100,0.00
21-May-70,56.75,56.75,56.13,56.13,12000,0.00
20-May-70,57.63,57.88,57.00,57.00,17500,0.00
