time	ignal 0	ignal 1
(sec)	(mV)	(mV)
  0.000	 -0.505	  0.615
  0.008	 -0.495	  0.755
  0.016	 -0.545	  0.805
  0.023	 -0.445	  0.865
  0.031	 -0.275	  0.815
  0.039	 -0.145	  0.395
  0.047	 -0.135	 -0.035
  0.055	 -0.125	 -0.105
  0.062	 -0.135	 -0.145
  0.070	 -0.125	 -0.155
  0.078	 -0.125	 -0.135
  0.086	 -0.115	 -0.215
  0.094	 -0.115	 -0.215
  0.102	 -0.115	 -0.215
  0.109	 -0.095	 -0.205
  0.117	 -0.105	 -0.195
  0.125	 -0.095	 -0.185
  0.133	 -0.095	 -0.185
  0.141	 -0.095	 -0.185
  0.148	 -0.085	 -0.185
  0.156	 -0.095	 -0.155
  0.164	 -0.055	 -0.055
  0.172	 -0.045	 -0.205
  0.180	 -0.055	 -0.225
  0.188	 -0.045	 -0.205
  0.195	 -0.045	 -0.215
  0.203	 -0.045	 -0.185
  0.211	 -0.025	 -0.165
  0.219	 -0.005	 -0.145
  0.227	  0.005	 -0.135
  0.234	  0.015	 -0.115
  0.242	  0.025	 -0.135
  0.250	  0.065	  0.015
  0.258	  0.125	 -0.085
  0.266	  0.135	 -0.135
  0.273	  0.165	 -0.065
  0.281	  0.195	 -0.035
  0.289	  0.235	  0.005
  0.297	  0.275	  0.015
  0.305	  0.285	  0.015
  0.312	  0.305	  0.045
  0.320	  0.305	  0.095
  0.328	  0.285	  0.025
  0.336	  0.255	  0.005
  0.344	  0.185	 -0.005
  0.352	  0.125	  0.005
  0.359	  0.065	 -0.055
  0.367	 -0.025	 -0.095
  0.375	 -0.055	 -0.095
  0.383	 -0.115	 -0.135
  0.391	 -0.145	 -0.165
  0.398	 -0.185	 -0.195
  0.406	 -0.165	 -0.085
  0.414	 -0.155	 -0.135
  0.422	 -0.185	 -0.235
  0.430	 -0.195	 -0.265
  0.438	 -0.195	 -0.245
  0.445	 -0.185	 -0.175
  0.453	 -0.205	 -0.195
  0.461	 -0.195	 -0.185
  0.469	 -0.175	 -0.165
  0.477	 -0.185	 -0.165
  0.484	 -0.175	 -0.175
  0.492	 -0.175	 -0.165
  0.500	 -0.165	 -0.165
  0.508	 -0.145	 -0.155
  0.516	 -0.185	 -0.155
  0.523	 -0.155	 -0.145
  0.531	 -0.135	 -0.135
  0.539	 -0.135	 -0.155
  0.547	 -0.125	 -0.125
  0.555	 -0.115	 -0.195
  0.562	 -0.125	 -0.185
  0.570	 -0.135	 -0.165
  0.578	 -0.145	 -0.165
  0.586	 -0.115	 -0.165
  0.594	 -0.135	 -0.175
  0.602	 -0.135	 -0.055
  0.609	 -0.125	 -0.175
  0.617	 -0.135	 -0.215
  0.625	 -0.135	 -0.195
  0.633	 -0.145	 -0.135
  0.641	 -0.135	 -0.095
  0.648	 -0.135	 -0.225
  0.656	 -0.145	 -0.205
  0.664	 -0.135	 -0.175
  0.672	 -0.145	 -0.185
  0.680	 -0.135	 -0.075
  0.688	 -0.125	 -0.195
  0.695	 -0.145	 -0.225
  0.703	 -0.155	 -0.175
  0.711	 -0.135	 -0.175
  0.719	 -0.155	 -0.165
  0.727	 -0.155	 -0.155
  0.734	 -0.145	 -0.155
  0.742	 -0.135	 -0.145
  0.750	 -0.145	 -0.175
  0.758	 -0.145	 -0.155
  0.766	 -0.155	 -0.145
  0.773	 -0.125	 -0.115
  0.781	 -0.145	 -0.205
  0.789	 -0.125	 -0.125
  0.797	 -0.135	 -0.235
  0.805	 -0.135	 -0.205
  0.812	 -0.135	 -0.175
  0.820	 -0.135	 -0.145
  0.828	 -0.145	 -0.155
  0.836	 -0.135	 -0.145
  0.844	 -0.135	 -0.155
  0.852	 -0.125	 -0.125
  0.859	 -0.125	 -0.155
  0.867	 -0.145	 -0.155
  0.875	 -0.125	 -0.085
  0.883	 -0.125	 -0.155
  0.891	 -0.145	 -0.145
  0.898	 -0.135	 -0.185
  0.906	 -0.125	 -0.095
  0.914	 -0.125	 -0.155
  0.922	 -0.115	 -0.135
  0.930	 -0.125	 -0.175
  0.938	 -0.135	 -0.155
  0.945	 -0.115	 -0.135
  0.953	 -0.135	 -0.115
  0.961	 -0.115	 -0.165
  0.969	 -0.115	 -0.145
  0.977	 -0.135	 -0.125
  0.984	 -0.115	 -0.075
  0.992	 -0.135	 -0.155
  1.000	 -0.105	 -0.055
  1.008	 -0.105	 -0.185
  1.016	 -0.125	 -0.215
  1.023	 -0.125	 -0.165
  1.031	 -0.115	 -0.145
  1.039	 -0.115	 -0.125
  1.047	 -0.115	 -0.125
  1.055	 -0.125	 -0.115
  1.062	 -0.105	 -0.105
  1.070	 -0.105	 -0.145
  1.078	 -0.125	 -0.115
  1.086	 -0.125	 -0.115
  1.094	 -0.075	 -0.085
  1.102	 -0.085	 -0.135
  1.109	 -0.095	 -0.115
  1.117	 -0.105	 -0.095
  1.125	 -0.095	 -0.025
  1.133	 -0.095	 -0.095
  1.141	 -0.105	 -0.215
  1.148	 -0.095	 -0.205
  1.156	 -0.095	 -0.185
  1.164	 -0.095	 -0.155
  1.172	 -0.085	 -0.165
  1.180	 -0.105	 -0.165
  1.188	 -0.105	 -0.065
  1.195	 -0.105	 -0.155
  1.203	 -0.115	 -0.165
  1.211	 -0.105	 -0.145
  1.219	 -0.105	 -0.125
  1.227	 -0.105	 -0.095
  1.234	 -0.085	 -0.095
  1.242	 -0.135	 -0.115
  1.250	 -0.045	 -0.105
  1.258	  0.175	 -0.065
  1.266	  0.705	 -0.015
  1.273	  1.315	 -0.055
  1.281	  1.415	 -0.175
  1.289	  0.975	 -0.005
  1.297	  0.335	  0.305
  1.305	 -0.305	  0.485
  1.312	 -0.545	  0.665
  1.320	 -0.515	  0.695
  1.328	 -0.555	  0.785
  1.336	 -0.575	  0.915
  1.344	 -0.495	  0.945
  1.352	 -0.355	  0.935
  1.359	 -0.175	  0.585
  1.367	 -0.155	  0.025
  1.375	 -0.155	 -0.105
  1.383	 -0.155	 -0.125
  1.391	 -0.165	 -0.145
  1.398	 -0.115	 -0.105
  1.406	 -0.145	 -0.205
  1.414	 -0.145	 -0.215
  1.422	 -0.115	 -0.185
  1.430	 -0.125	 -0.205
  1.438	 -0.115	 -0.205
  1.445	 -0.105	 -0.205
  1.453	 -0.115	 -0.185
  1.461	 -0.115	 -0.155
  1.469	 -0.095	 -0.175
  1.477	 -0.095	 -0.085
  1.484	 -0.075	 -0.185
  1.492	 -0.085	 -0.225
  1.500	 -0.065	 -0.165
  1.508	 -0.065	 -0.165
  1.516	 -0.065	 -0.175
  1.523	 -0.065	 -0.175
  1.531	 -0.045	 -0.155
  1.539	 -0.035	 -0.135
  1.547	 -0.035	 -0.145
  1.555	 -0.015	 -0.135
  1.562	  0.015	 -0.105
  1.570	  0.025	 -0.085
  1.578	  0.045	 -0.075
  1.586	  0.085	 -0.065
  1.594	  0.095	 -0.045
  1.602	  0.175	  0.085
  1.609	  0.205	 -0.085
  1.617	  0.215	 -0.005
  1.625	  0.245	  0.015
  1.633	  0.275	  0.035
  1.641	  0.265	 -0.005
  1.648	  0.255	  0.025
  1.656	  0.245	  0.065
  1.664	  0.185	  0.045
  1.672	  0.135	  0.005
  1.680	  0.055	 -0.025
  1.688	  0.015	 -0.025
  1.695	 -0.055	 -0.125
  1.703	 -0.095	 -0.065
  1.711	 -0.125	 -0.215
  1.719	 -0.135	 -0.205
  1.727	 -0.165	 -0.185
  1.734	 -0.165	 -0.145
  1.742	 -0.165	 -0.195
  1.750	 -0.175	 -0.175
  1.758	 -0.165	 -0.165
  1.766	 -0.185	 -0.205
  1.773	 -0.185	 -0.185
  1.781	 -0.175	 -0.135
  1.789	 -0.165	 -0.125
  1.797	 -0.155	 -0.175
  1.805	 -0.155	 -0.185
  1.812	 -0.165	 -0.195
  1.820	 -0.135	 -0.045
  1.828	 -0.155	 -0.195
  1.836	 -0.125	 -0.155
  1.844	 -0.125	 -0.185
  1.852	 -0.115	 -0.175
  1.859	 -0.115	 -0.155
  1.867	 -0.135	 -0.145
  1.875	 -0.105	 -0.145
  1.883	 -0.115	 -0.145
  1.891	 -0.125	 -0.145
  1.898	 -0.125	 -0.135
  1.906	 -0.105	 -0.135
  1.914	 -0.115	 -0.145
  1.922	 -0.105	 -0.175
  1.930	 -0.125	 -0.045
  1.938	 -0.105	 -0.175
  1.945	 -0.105	 -0.195
  1.953	 -0.125	 -0.235
  1.961	 -0.125	 -0.215
  1.969	 -0.105	 -0.165
  1.977	 -0.115	 -0.165
  1.984	 -0.115	 -0.165
  1.992	 -0.125	 -0.175
  2.000	 -0.115	 -0.135
  2.008	 -0.115	 -0.155
  2.016	 -0.125	 -0.165
  2.023	 -0.115	 -0.165
  2.031	 -0.115	 -0.155
  2.039	 -0.125	 -0.155
  2.047	 -0.115	 -0.135
  2.055	 -0.125	 -0.095
  2.062	 -0.095	 -0.145
  2.070	 -0.115	 -0.195
  2.078	 -0.115	 -0.205
  2.086	 -0.105	 -0.205
  2.094	 -0.135	 -0.185
  2.102	 -0.115	 -0.125
  2.109	 -0.105	 -0.165
  2.117	 -0.105	 -0.155
  2.125	 -0.115	 -0.155
  2.133	 -0.115	 -0.145
  2.141	 -0.115	 -0.145
  2.148	 -0.105	 -0.145
  2.156	 -0.105	 -0.145
  2.164	 -0.135	 -0.135
  2.172	 -0.085	 -0.045
  2.180	 -0.085	 -0.165
  2.188	 -0.085	 -0.225
  2.195	 -0.105	 -0.185
  2.203	 -0.105	 -0.155
  2.211	 -0.095	 -0.095
  2.219	 -0.085	 -0.155
  2.227	 -0.105	 -0.175
  2.234	 -0.095	 -0.145
  2.242	 -0.095	 -0.145
  2.250	 -0.095	 -0.145
  2.258	 -0.085	 -0.125
  2.266	 -0.105	 -0.045
  2.273	 -0.085	 -0.155
  2.281	 -0.085	 -0.185
  2.289	 -0.095	 -0.155
  2.297	 -0.075	 -0.105
  2.305	 -0.085	 -0.135
  2.312	 -0.085	 -0.125
  2.320	 -0.085	 -0.145
  2.328	 -0.085	 -0.125
  2.336	 -0.085	 -0.155
  2.344	 -0.075	 -0.135
  2.352	 -0.085	 -0.105
  2.359	 -0.075	 -0.145
